"q_number","waves_present","n_waves","labels","variables"
92,"W2, W3, W4, W5, W6",5,"People often differ in their views on the characteristic tha || q92. Where would you place our country ten years ago? || 92 On the whole, how satisfied or dissatisfied are you with  || 92 Politics is clean and free of corruption || 92 Where would you place our country under the present gover","q92, q92, q92, q92, q92"
93,"W2, W3, W4, W5, W6",5,"On the whole, how satisfied or dissatisfied are you with the || q93. Where would you want our country to be in the future? || 93. In your opinion how much of a democracy is the country? || 93 People have the freedom to take part in protests and demo || 93 Where would you place our country ten years ago?","q93, q93, q93, q93, q93"
94,"W2, W3, W4, W5, W6",5,"In your opinion how much of a democracy is [country]? || q94. Here is a similar scale of 1 to 10 measuring the extent || 94 Where would you place our country under the present gover || 94 When making laws, the government seek advice from religio || 94 Where would you expect our country to be ten years from n","q94, q94, q94, q94, q94"
95,"W2, W3, W4, W5, W6",5,"Where would you place our country during the period of [the  || q95. How satisfied or dissatisfied are you with the [name of || 95 Where would you place our country ten years ago? || 95 Political leaders rule by following their own wisdom rath || 95 Where would you place our country today? Democracy is sui","q95, q95, q95, q95, q95"
96,"W2, W3, W4, W5, W6",5,"Where would you place our country under the present governme || q96. In your opinion, what are the most important problems f || 96 Where would you expect our country to be ten years from n || 96 Rule by one party that represents the interests of all cl || 96 How satisfied or dissatisfied are you with the current pr","q96, q96, q96, q96, q96"
97,"W2, W3, W4, W5, W6, W6, W6, W6, W6, W6",5,"To what extent would you want our country to be democratic n || q97. How likely is it that the government will solve the mos || 97 Whether you think democracy is suitable for our country || 97 Qualified candidates are pre-selected by religious leader || 97 What are the most important problems facing this country  || 97. Other specify responses || 97a What are the most important problems facing this country || 97a. Other specify responses || 97b What are the most important problems facing this country || 97b. Other specify responses","q97, q97, q97, q97, q97, q97other, q97a, q97aother, q97b, q97bother"
98,"W2, W3, W4, W5, W6",5,"Which would you think democracy is suitable for our country? || q98. Now I am going to read to you a list of statements that || 98 How satisfied or dissatisfied are you with the current go || 98 If you have to choose only one, which of the following yo || 98 How likely is it that the government will solve the most ","q98, q98, q98, q98, q98"
99,"W2, W3, W4, W4, W4, W5, W6",5,"How satisfied or dissatisfied are you with the [name of pres || q99. Political parties or candidates in our country have equ || 99 What are the first most important problems facing this co || 99a. What are the second most important problems facing this || 99b. What are the third most important problems facing this  || 99 On the whole, how satisfied or dissatisfied are you with  || 99 Citizens are able to remove a government they don't like ","q99, q99, q99, q99a, q99b, q99, q99"
100,"W2, W3, W4, W5, W6",5,"In your opinion, what are the most important questions facin || q100. Between elections, the people have no way of holding t || 100. How likely is it that the government will solve the mos || 100 In your opinion how much of a democracy is our country? || 100  In our country, parties and candidates not in power hav","q100, q100, q100, q100, q100"
101,"W2, W3, W4, W5, W6",5,"Second Response || q101. When government leaders break the laws, there is nothi || 101. People have the power to change a government they don't || 101 Where would you place our country under the present gove || 101  Between elections, the people have no way of holding th","q101, q101, q101, q101, q101"
102,"W2, W2, W3, W4, W5, W6",5,"Third Response || How likely is it that the government will solve the most imp || q102. Most citizens in our country don't make much effort to || 102. Political parties or candidates in our country have equ || 102 Where would you place our country ten years ago? || 102  When government leaders break the laws, there is nothin","q102, q102a, q102, q102, q102, q102"
103,"W2, W3, W4, W5, W6",5,"People have the power to change a government they don't like || q103. All citizens from different ethnic communities in Coun || 103. Between elections, the people have no way of holding th || 103 Where would you expect our country to be ten years from  || 103  All citizens from different ethnic communities in the [","q103, q103, q103, q103, q103"
104,"W2, W3, W4, W5, W6",5,"Our current courts always punish the guilty even if they are || q104. Rich and poor people are treated equally by the govern || 104. When government leaders break the laws, there is nothin || 104 Where would you place our country today? Democracy is su || 104  Rich and poor people are treated equally by the governm","q104, q104, q104, q104, q104"
105,"W2, W3, W4, W5, W6",5,"Political parties or candidates in our country have equal ac || q105. People have basic necessities like food, clothes, and  || 105. All citizens from different ethnic communities in the c || 105 How satisfied or dissatisfied are you with the current p || 105  People have basic necessities like food, clothes, and s","q105, q105, q105, q105, q105"
106,"W2, W3, W4, W5, W5, W5, W5, W5, W5, W6",5,"Between elections, the people have no way of holding the gov || q106. People are free to speak what they think without fear. || 106 Rich and poor people are treated equally by the governme || 106 What are the first most important problems facing this c || 106a What are the most important problems facing this countr || 106b What are the most important problems facing this countr || 106c:(India only) In your opinion, what are the most importa || 106d:(India only) In your opinion, what are the most importa || 106e:(India only) In your opinion, what are the most importa || 106  People are free to speak what they think without fear.","q106, q106, q106, q106, q106a, q106b, Q106c, Q106d, Q106e, q106"
107,"W2, W3, W4, W5, W6",5,"When the government breaks the laws, there is nothing the le || q107. People can join any organization they like without fea || 107. People have basic necessities like food, clothes, and s || 107 How likely is it that the government will solve the most || 107  People can join any organization they like without fear","q107, q107, q107, q107, q107"
108,"W2, W3, W4, W5, W6",5,"Everyone is treated equally by the government || q108. Do officials who commit crimes go unpunished? || 108. People are free to speak what they think without fear. || 108 Citizens are able to remove a government they don't like || 108 How often do government officials withhold important inf","q108, q108, q108, q108, q108"
109,"W2, W3, W4, W5, W6",5,"People have basic necessities like food, clothes, and shelte || q109. How often do government officials withhold important i || 109 People can join any organization they like without fear. || 109 In our country, parties and candidates not in power have || 109 How often do you think government leaders break the law ","q109, q109, q109, q109, q109"
110,"W2, W3, W4, W5, W6",5,"People are free to speak what they think without fear || q110. How often do you think government leaders break the la || 110 Do officials who commit crimes go unpunished? || 110 Between elections, the people have no way of holding the || 110 How often do you think our elections offer the voters a ","q110, q110, q110, q110, q110"
111,"W2, W3, W4, W5, W6",5,"People can join any organization the like without fear || q111.  How often do you think our elections offer the voters || 111 How often do government officials withhold important inf || 111 When government leaders break the laws, there is nothing || 111 To what extent is the legislature capable of keeping gov","q111, q111, q111, q111, q111"
112,"W2, W3, W4, W5, W6",5,"How often do government officials withhold important informa || q112. To what extent is the legislature capable of keeping g || 112 How often do you think government leaders break the law  || 112 All citizens from different ethnic communities in the co || 112 How well do you think the government responds to what pe","q112, q112, q112, q112, q112"
113,"W2, W3, W4, W5, W6",5,"How often do national government officials abide by the law? || q113. How well do you think the government responds to what  || 113 How often do you think our elections offer the voters a  || 113 Rich and poor people are treated equally by the governme || 113 How much do you feel that having elections make the gove","q113, q113, q113, q113, q113"
114,"W2, W3, W4, W5, W6",5,"How often do your think our elections offer the voters a rea || q114. In your neighborhood or community, do people voice the || 114 To what extent is the legislature capable of keeping gov || 114 People have basic necessities like food, clothes, and sh || 114 How capable is the government of enforcing laws and impl","q114, q114, q114, q114, q114"
115,"W2, W3, W4, W5, W6",5,"To what extent is the legislature capable of keeping the gov || q115. How much do you feel that having elections makes the g || 115 How well do you think the government responds to what pe || 115 People are free to speak what they think without fear || 115 How widespread do you think corruption and bribe-taking ","q115, q115, q115, q115, q115"
116,"W2, W3, W4, W5, W6",5,"How well do you think the government responds to what people || q116. How widespread do you think corruption and bribe-takin || 116 How much do you feel that having elections makes the gov || 116 People can join any organization they like without fear || 116 How widespread do you think corruption and bribe-taking ","q116, q116, q116, q116, q116"
117,"W2, W3, W4, W5, W6",5,"How widespread do you think corruption and bribe-taking are  || q117. How widespread do you think corruption and bribe-takin || 117 How widespread do you think corruption and bribe-taking  || 117 How often do government officials withhold important inf || 117 How effective is the government in cracking down on corr","q117, q117, q117, q117, q117"
118,"W2, W3, W4, W5, W6",5,"How widespread do you think corruption and bribe-taking are  || q118. In your opinion, is the government working to crack do || 118 How widespread do you think corruption and bribe-taking  || 118 How often do you think government leaders break the law  || 118 Have you or anyone you know personally witnessed an act ","q118, q118, q118, q118, q118"
119,"W2, W2, W2, W2, W3, W3, W3, W3, W4, W5, W6, W6, W6",5,"Have you or anyone you know personally witnessed an act of c || 119_1 Personally witnessed || 119_2 Told about it by family member || 119_3 Told about it by friend || q119. Have you or anyone you know personally witnessed an ac || 119 In your opinion, is the government working to crack down || 119 How often do you think our elections offer the voters a  || 119a Did you personally witness it or were you told about it || 119b Did you personally witness it or were you told about it || 119c Did you personally witness it or were you told about it","q119, q119_1, q119_2, q119_3, q119, q119_1, q119_2, q119_3, q119, q119, q119a, q119b, q119c"
120,"W2, W3, W4, W5, W6",5,"In your opinion, is the government working to crackdown corr || q120. Remember the scale that we used before: 1 means comple || 120 Have you or anyone you know personally witnessed an act  || 120 To what extent is the legislature capable of keeping gov || 120 Where would you place China today on this scale?","q120, q120, q120, q120, q120"
121,"W2, W3, W4, W5, W6",5,"Which of the following statements comes closest to your own  || q121. Where would you place the United States today on this  || 121 Where would you place China today on this scale? || 121 How well do you think the government responds to what pe || 121 Where would you place the United States of America today","q121, q121, q121, q121, q121"
122,"W2, W3, W4, W5, W6",5,"Which of the following statements comes closer to your own v || q122. Where would you place Japan today on this scale? || 122 Where would you place the United States today on this sc || 122 How much do you feel that having elections makes the gov || 122 Where would you place Japan today on this scale?","q122, q122, q122, q122, q122"
123,"W2, W3, W4, W5, W6",5,"If you had to choose between democracy and economic developm || q123. Where would you place India today on this scale? || 123 Where would you place Japan on this scale? || 123 How capable is the government of enforcing laws and impl || 123 Where would you place India today on this scale?","q123, q123, q123, q123, q123"
124,"W2, W3, W4, W5, W6",5,"We should get rid of parliament and elections and have a str || q124. Which of the following statements comes closest to you || 124 Where would you place India on this scale? || 124 How widespread do you think corruption and bribe-taking  || 124 Which of the following statements comes closest to your ","q124, q124, q124, q124, q124"
125,"W2, W3, W4, W5, W6",5,"Only one political party is allowed to stand for election an || q125. Which of the following statements comes closer to your || 125 Which of the following statements comes closest to your  || 125 How widespread do you think corruption and bribe-taking  || 125 Which of the following statements comes closer to your o","q125, q125, q125, q125, q125"
126,"W2, W3, W4, W5, W6",5,"The army should come in to govern the country || q126. If you had to choose between democracy and economic de || 126 Which of the following statements comes closer to your o || 126 How effective is the government in cracking down on corr || 126 If you had to choose between democracy and economic deve","q126, q126, q126, q126, q126"
127,"W2, W3, W4, W5, W5, W5, W5, W6",5,"I think I have the ability to participate in politics || q127. If you had to choose between reducing economic inequal || 127 If you had to choose between democracy and economic deve || 127 Have you or anyone you know personally witnessed an act  || 127a_1 Did you personally witness it or were you told about  || 127a_2  Did you personally witness it or were you told about || 127a_3  Did you personally witness it or were you told about || 127 If you had to choose between reducing economic inequalit","q127, q127, q127, q127, q127a_1, q127a_2, q127a_3, q127"
128,"W2, W3, W4, W5, W6",5,"Sometimes politics and government seems so complicated that  || q128. Do you agree or disagree with the following statement: || 128 If you had to choose between reducing economic inequalit || 128 Where would you place China today on this scale? || 128 Do you agree or disagree with the following statement: '","q128, q128, q128, q128, q128"
129,"W2, W3, W3, W3, W4, W5, W6",5,"Whatever its faults may be, our form of government is still  || q129. There are many ways to govern a country. Would you dis || strong leader || sum of Q129a_q131a(reject all authoritarian options) || 129 Do you agree or disagree with the following statement: "" || 129 Where would you place the United States today on this sc || 129 We should get rid of parliament and elections and have a","q129, q129, q129a, q129a_q131a, q129, q129, q129"
130,"W2, W3, W3, W4, W5, W6",5,"You can generally trust the people who run our government to || q130. Only one political party should be allowed to stand fo || one poltical party || 130 We should get rid of parliament and elections and have a || 130 Where would you place Japan today on this scale? || 130 Only one political party is allowed to stand for electio","q130, q130, q130a, q130, q130, q130"
131,"W2, W3, W3, W4, W5, W6",5,"Generally speaking, we can trust the local government offici || q131. The army (military) should come in to govern the count || army || 131 Only one political party should be allowed to stand for  || 131 Where would you place India today on this scale? || 131 The army (military) should come in to govern the country","q131, q131, q131a, q131, q131, q131"
132,"W2, W3, W4, W5, W6",5,"Which of these two statements comes closer to your own view || q132. We should get rid of elections and parliaments and hav || 132 The army (military) should come in to govern the country || 132 Which of the following statements comes closest to your  || 132 We should get rid of elections and parliaments and have ","q132, q132, q132, q132, q132"
133,"W2, W3, W4, W5, W6",5,"People with little or no education should have as much say i || q133. I have here some statements. For each statement, would || 133 We should get rid of elections and parliaments and have  || 133 Which of the following statements comes closer to your o || 133 I think I have the ability to participate in politics.","q133, q133, q133, q133, q133"
134,"W2, W3, W4, W5, W6",5,"Government leaders are like the head of a family; we should  || q134. Sometimes politics and government seems so complicated || 134 I think I have the ability to participate in politics. || 134 If you had to choose between democracy and economic deve || 134 Sometimes politics and government seems so complicated t","q134, q134, q134, q134, q134"
135,"W2, W3, W4, W5, W6",5,"The government should decide whether certain ideas should be || q135. People like me don't have any influence over what the  || 135 Sometimes politics and government seems so complicated t || 135 If you had to choose between reducing economic inequalit || 135 People like me don't have any influence over what the go","q135, q135, q135, q135, q135"
136,"W2, W3, W4, W5, W6",5,"Harmony of the community will be disrupted if people organiz || q136. You can generally trust the people who run our governm || 136 People like me don't have any influence over what the go || 136 Do you agree or disagree with the following statement: "" || 136 You can generally trust the people who run our governmen","q136, q136, q136, q136, q136"
137,"W2, W3, W4, W5, W6",5,"When judges decide important cases, they should accept the v || q137. A citizen should always remain loyal only to his count || 137 You can generally trust the people who run our governmen || 137 We should get rid of parliament and elections and have a || 137 A citizen should always remain loyal only to his country","q137, q137, q137, q137, q137"
138,"W2, W3, W4, W5, W6",5,"If the government is constantly checked by the legislature,  || q138. I have here other statements. For each statement, woul || 138 A citizen should always remain loyal only to his country || 138 Only one political party should be allowed to stand for  || 138 Have you or your family members previously contracted th","q138, q138, q138, q138, q138"
139,"W2, W3, W4, W5, W6, W6, W6, W6",5,"If we have political leaders who are morally upright, we can || q139. Women should not be involved in politics as much as me || 139 Women should not be involved in politics as much as men || 139 The army (military) should come in to govern the country || 139a Did you or a member of your family suffer from serious  || 139b Did you or a member of your family suffer from loss of  || 139c Did you or a member of your family suffer from loss of  || 139d Did you or a member of your family suffer from disrupti","q139, q139, q139, q139, q139a, q139b, q139c, q139d"
140,"W2, W3, W4, W5, W6",5,"If people have too many different ways of thinking, society  || q140. People with little or no education should have as much || 140 The government should consult religious authorities when || 140 We should get rid of elections and parliaments and have  || 140 Thinking of the negative impact of Covid-19 on your fami","q140, q140, q140, q140, q140"
141,"W2, W3, W3, W3, W4, W5, W6",5,"When the country is facing a difficult situation, it is ok f || q141. Government leaders are like the head of a family; we s || government leader || average rejection of authoritarian values || 141 People with little or no education should have as much s || 141 I think I have the ability to participate in politics || 141 How much do you trust the Covid-19 related information p","q141, q141, q141a, q141a_q147a, q141, q141, q141"
142,"W2, W3, W3, W4, W5, W6",5,"The government should maintain ownership of major state-owne || q142. The government should decide whether certain ideas sho || certain ideas || 142 Government leaders are like the head of a family; we sho || 142 Sometimes politics and government seems so complicated t || 142 How well or badly do you think the government handled th","q142, q142, q142a, q142, q142, q142"
143,"W2, W3, W3, W4, W5, W6, W6, W6, W6, W6",5,"The local government should have more authority over local d || q143. Harmony of the community will be disrupted if people o || Harmony of the community || 143 The government should decide whether certain ideas shoul || 143 People like me don`t have any influence over what the go || 143aWhen there is a public health challenge like the coronav || 143b To limit freedom of speech or assembly || 143c To censor the media || 143d To track citizens’ locations at all times || 143e To impose a lockdown for a long time","q143, q143, q143a, q143, q143, q143a, q143b, q143c, q143d, q143e"
144,"W2, W3, W3, W4, W5, W6",5,"Our country should defend our way of life instead of becomin || q144. When judges decide important cases, they should accept || judges || 144 Harmony of the community will be disrupted if people org || 144 You can generally trust the people who run our governmen || 144 Have you been vaccinated against Covid-19?","q144, q144, q144a, q144, q144, q144"
145,"W2, W3, W3, W4, W5, W6, W6",5,"In order to preserve social justice, the government should p || q145. If the government is constantly checked [i.e. monitore || checked by the legislature || 145 When judges decide important cases, they should accept t || 145 A citizen should always remain loyal only to his country || 145 Why do you prefer not to be vaccinated against Covid-19? || 145. Other specify responses","q145, q145, q145a, q145, q145, q145, q145other"
146,"W2, W3, W3, W4, W5, W6",5,"Our country should become more self-sufficient and less reli || q146. If we have political leaders who are morally upright,  || political leaders || 146 If the government is constantly checked [i.e. monitored  || 146 Women should not be involved in politics as much as men || 146 I have here other statements: Women should not be involv","q146, q146, q146a, q146, q146, q146"
147,"W2, W3, W3, W4, W5, W6",5,"Let us suppose that you had to choose between being a..... w || q147. If people have too many different ways of thinking, so || chaotic || 147 If we have political leaders who are morally upright, we || 147 The government should consult religious authorities when","q147, q147, q147a, q147, q147, q147"
148,"W2, W3, W4, W5, W6",5,"These people should have the equal right to do whatever they || q148. When the country is facing a difficult situation, it i || 148 If people have too many different ways of thinking, soci || 148 People with little or no education should have as much s","q148, q148, q148, q148, q148"
149,"W2, W3, W4, W5, W6",5,"They should enjoy the same right as other citizens to vote i || q149. How closely do you follow major events in foreign coun || 149 When the country is facing a difficult situation, it is  || 149 Government leaders are like the head of a family; we sho","q149, q149, q149, q149, q149"
150,"W2, W3, W4, W5, W6",5,"Their basic well-being should be taken care of by the govern || q150. How often do you watch or listen to foreign programs ( || 150 How closely do you follow major events in foreign countr || 150 The government should decide whether certain ideas shoul","q150, q150, q150, q150, q150"
151,"W2, W3, W4, W5, W6",5,"A citizen who does not actively participate in the affairs o || q151. Our country should defend our way of life instead of b || 151 Our country should defend our way of life instead of bec || 151 Harmony of the community will be disrupted if people org","q151, q151, q151, q151, q151"
152,"W2, W3, W4, W5, W6",5,"Citizens should always obey laws and regulations, even if th || q152. Do you agree or disagree with the following statement: || 152 Do you agree or disagree with the following statement: "" || 152 When judges decide important cases, they should accept t","q152, q152, q152, q152, q152"
153,"W2, W3, W4, W5, W6",5,"Do you agree or disagree with the following statement: ""A ci || q153. Do you agree or disagree with the following statement: || 153 Do you think the government should increase or decrease  || 153 If the government is constantly checked [i.e. monitored  || 153 If the government is constantly checked by the legislatu","q153, q153, q153, q153, q153"
154,"W2, W3, W4, W5, W6",5,"How proud are you to be a citizen of [Country] || q154. How proud are you to be a citizen of (COUNTRY)? || 154 Which of these statements comes closer to your view? || 154 If we have political leaders who are morally upright, we","q154, q154, q154, q154, q154"
155,"W2, W3, W4, W5, W6",5,"Given the chance, how willing would you be to go and live in || q155. Given the chance, how willing would you be to go and l || 155 How fair do you think income distribution is in the coun || 155 If people have too many different ways of thinking, soci","q155, q155, q155, q155, q155"
156,"W2, W3, W4, W5, W5, W5, W6, W6, W6",5,"Relation: The European Community or European Union || q156. Which country has the most influence in Asia? || 156 It is the responsibility of the government to reduce the || 156 Which of the following statements do you agree with the  || 156a Do you strongly agree or just agree with the chosen sta || 156_1 Our country should do more to learn from other countri || 156 Choose one statement.","q156, q156, q156, q156, q156a, q156_1, q156, q156a, q156_1"
157,"W2, W3, W3, W3, W4, W5, W5, W5, W6, W6, W6",5,"Relation: The United Nations or UN || q157. Does (answer in Q156) do more good or harm to the regi || q157a. Does China do more good or harm to the region? || q157b. Does China do more good or harm to the region? (Wheth || 157 How concerned are you about the loss of your major sourc || 157 Which of the following statements do you agree with the  || 157a Do you strongly agree or just agree with the chosen sta || 157_1 Our country should do more trade with other countries( || 157 Choose one statement.","q157, q157, q157a, q157b, q157, q157, q157a, q157_1, q157, q157a, q157_1"
158,"W2, W3, W4, W5, W6",5,"Relation: International Monetary Fund or IMF || q158. In ten years, which country will have the most influen || 158 The following is a hypothetical question: If you were un || 158 Do you think the government should increase or decrease ","q158, q158, q158, q158, q158"
159,"W2, W3, W4, W4, W5, W6",5,"Relation: World Bank || q159. Which country should be a model for our own country's  || 159 Considering all the effort that you and your family memb || 159a Considering all the effort that you and your family mem || 159 How fair do you think income distribution is in the coun || 159 How fair do you think income distribution in Mongolia","q159, q159, q159, q159a, q159, q159"
160,"W2, W3, W4, W5, W5, W5, W5, W6, W6, W6, W6",5,"Impression: The European Community or European Union || q160. How much influence does China have on our country? || 160 As compared to my parent's generation, my generation has || 160a It is the responsibility of the government to narrow th || 160b It is the responsibility of the government to make sure || 160c It is the responsibility of the government to make sure || 160d It is the responsibility of the government to make sure || 160a Narrow the gap between the rich and the poor || 160b Make sure that everyone has affordable housing || 160c Make sure that everyone has access to basic medical car || 160d Make sure that basic necessities such as food and shelt","q160, q160, q160, q160a, q160b, q160c, q160d, q160a, q160b, q160c, q160d"
161,"W2, W3, W4, W5, W6",5,"Impression: The United Nations or UN || q161. General speaking, the influence China has on our count || 161 How proud are you to be a citizen of the country? Are yo || 161 How worried are you that your family might lose its majo","q161, q161, q161, q161, q161"
21,"W3, W4, W5, W6, W6",4,"q21. Second Organization || 21. Name of the organization you belong to. Second || 21  Which organization you participate most actively in the  || 21 Which organization you participate most actively in the l || 21 Other specify responses","q21, q21, q21, q21, q21_other"
22,"W3, W4, W5, W6",4,"q22. Third Organization || 22. Name of the organization that you belong to. Third || 22 Would you say that ""Most people can be trusted"" or ""that  || 22 Would you say that 'Most people can be trusted' or 'that ","q22, q22, q22, q22"
162,"W2, W4, W5, W6",4,"Impression: International Monetary Fund or IMF || 162 Given the chance, how willing would you be to go and liv || 162 The following is a hypothetical question: If your family || 162 The following is a hypothetical question: If you were un","q162, q162, q162, q162"
163,"W2, W4, W5, W6",4,"Impression: World Bank || 163 Which country has the most influence in Asia? || 163 Considering all the effort that you and your family memb","q163, q163, q163, q163"
164,"W2, W4, W5, W6",4,"Impression: United States || 164 Does the United States do more good or harm to the regio || 164 As compared to my parent's generation, my generation has","q164, q164, q164, q164"
165,"W2, W4, W5, W6",4,"Impression: China || 165 Does China do more good or harm to the region? || 165 Will the next generation have had a better or worse life","q165, q165, q165, q165"
166,"W2, W4, W5, W6",4,"Impression: Japan || 166 In ten years, which country will have the most influence || 166 How proud are you to be a citizen of the country? || 166 How proud are you to be a citizen of (COUNTRY)? Are you.","q166, q166, q166, q166"
167,"W4, W5, W6",3,"167 Which country should be a model for our own country's fu || 167 Given the chance, how willing would you be to go and liv","q167, q167, q167"
168,"W4, W5, W6",3,"168 How much influence does China have on our country? || 168 Under a democratic system, the country endures poor econ || 168 In order to solve the country’s urgent problems, a leade","q168, q168, q168"
169,"W4, W5, W6",3,"169 General speaking, the influence China has on our country || 169 Democratic regimes are indecisive and full of problems || 169 As long as a government can solve our country’s economic","q169, q169, q169"
170,"W4, W5, W6",3,"170 How much influence does the United States have on our co || 170 Democratic systems are not effective at maintaining orde || 170This country needs a leader who can break the rules if ne","q170, q170, q170"
171,"W4, W5, W6",3,"171 General speaking, the influence the United States has on || 171 The citizens in our country are not prepared for a democ || 171 As long as the government can maintain order and stabili","q171, q171, q171"
172,"W4, W5, W6, W6, W6, W6, W6",3,"172 How close do you feel to ASEAN? (ASEAN countries only) || 172 Democracy negatively affects social and ethical values i || 172a Which circumstance would justify the governments's use  || 172b An economic crisis that has caused the loss of many job || 172c Widespread corruption that the president [PM] claims ca || 172d A security crisis due to social unrest or terrorism || 172e The country is at war","q172, q172, q172a, q172b, q172c, q172d, q172e"
